id,composite_flux_indicator_id,locale,name
157,22,es-MX,MOM rápida superficial
158,23,es-MX,MOM rápida subterránea
159,24,es-MX,MOM regular
160,25,es-MX,MOM lenta superficial
161,26,es-MX,MOM lenta subterránea
162,27,es-MX,Troncos muertos de coníferas
163,28,es-MX,Ramas  muertas de coníferas
164,29,es-MX,Troncos muertos de caducifolios
165,30,es-MX,Ramas  muertas de caducifolios
166,31,es-MX,Total
167,32,es-MX,Biomasa total
168,33,es-MX,MOM total
169,34,es-MX,CO2 total
170,35,es-MX,CO total
171,36,es-MX,CH4 total
172,37,es-MX,CO2 bio
173,38,es-MX,CO bio
174,39,es-MX,CH4 bio
175,40,es-MX,CO2 MOM
176,41,es-MX,CO MOM
177,42,es-MX,CH4 MOM
178,43,es-MX,Pérdidas por perturbación
179,44,es-MX,Bio a suelo de perturbaciones
180,45,es-MX,Productividad de bioma neta (PBN)
181,1,pl-PL,Całkowita zmiana ekosystemu
182,2,pl-PL,Zmiana całkowitej biomasy
183,3,pl-PL,"Zmiana całkowitej, rozpuszczonej martwej materii organicznej (DOM)"
184,4,pl-PL,Produkcja podstawowa netto (NPP)
185,5,pl-PL,Produkcyjność ekosystemu netto (NEP)
186,6,pl-PL,Wzrost netto
187,7,pl-PL,Opad listowia netto
188,8,pl-PL,Całkowity opad listowia
189,9,pl-PL,Emisje rozkładu
190,10,pl-PL,Całkowite pozyskanie (biomasa + posusz)
191,11,pl-PL,Całkowite pozyskanie (biomasa)
192,12,pl-PL,Całkowite pozyskanie (posusz)
193,13,pl-PL,Pozyskanie iglastych (biomasa)
194,14,pl-PL,Pozyskanie liściastych (biomasa)
195,15,pl-PL,Pozyskanie iglastych (posusz)
196,16,pl-PL,Pozyskanie liściastych (posusz)
197,17,pl-PL,Martwe drewno
198,18,pl-PL,Ściółka
199,19,pl-PL,Węgiel w glebie
200,20,pl-PL,Nadziemna, bardzo szybko rozpuszczona martwa materia organiczna
201,21,pl-PL,Podziemna, bardzo szybko rozpuszczona martwa materia organiczna
202,22,pl-PL,Nadziemna, szybko rozpuszczona martwa materia organiczna (DOM)
203,23,pl-PL,Podziemna, szybko rozpuszczona martwa materia organiczna (DOM)
204,24,pl-PL,Średnio rozpuszczona martwa materia organiczna
205,25,pl-PL,Nadziemna, wolno rozpuszczona martwa materia organiczna (DOM)
206,26,pl-PL,Podziemna, wolno rozpuszczona martwa materia organiczna (DOM)
207,27,pl-PL,Iglaste posusz pnie
208,28,pl-PL,Iglaste posusz gałęzie
209,29,pl-PL,Liściaste posusz pnie
210,30,pl-PL,Liściaste posusz gałęzie
211,31,pl-PL,Całkowity
212,32,pl-PL,Całkowita biomasa
213,33,pl-PL,Całkowita rozpuszczona martwa materia organiczna (DOM)
214,34,pl-PL,Całkowity CO2
215,35,pl-PL,Całkowity CO
216,36,pl-PL,Całkowity CH4
217,37,pl-PL,Bio CO2
218,38,pl-PL,Bio CO
219,39,pl-PL,Bio CH4
220,40,pl-PL,CO2 rozpuszczonej martwej materii organicznej (DOM)
221,41,pl-PL,CO rozpuszczonej martwej materii organicznej (DOM)
222,42,pl-PL,CH4 rozpuszczonej martwej materii organicznej (DOM)
223,43,pl-PL,Straty związane z zakłóceniem
224,44,pl-PL,Zaburzenia przez biomasę do gleby
225,45,pl-PL,Produkcja biomu netto (NBP)
