id,composite_flux_indicator_id,locale_id,name
189,9,5,Emisje rozkładu
190,10,5,Całkowite pozyskanie (biomasa + posusz)
191,11,5,Całkowite pozyskanie (biomasa)
192,12,5,Całkowite pozyskanie (posusz)
193,13,5,Pozyskanie iglastych (biomasa)
194,14,5,Pozyskanie liściastych (biomasa)
195,15,5,Pozyskanie iglastych (posusz)
196,16,5,Pozyskanie liściastych (posusz)
197,17,5,Martwe drewno
198,18,5,Ściółka
199,19,5,Węgiel w glebie
200,20,5,"Nadziemna, bardzo szybko rozpuszczona martwa materia organiczna"
201,21,5,"Podziemna, bardzo szybko rozpuszczona martwa materia organiczna"
202,22,5,"Nadziemna, szybko rozpuszczona martwa materia organiczna (DOM)"
203,23,5,"Podziemna, szybko rozpuszczona martwa materia organiczna (DOM)"
204,24,5,Średnio rozpuszczona martwa materia organiczna
205,25,5,"Nadziemna, wolno rozpuszczona martwa materia organiczna (DOM)"
206,26,5,"Podziemna, wolno rozpuszczona martwa materia organiczna (DOM)"
207,27,5,Iglaste posusz pnie
208,28,5,Iglaste posusz gałęzie
209,29,5,Liściaste posusz pnie
210,30,5,Liściaste posusz gałęzie
211,31,5,Całkowity
212,32,5,Całkowita biomasa
213,33,5,Całkowita rozpuszczona martwa materia organiczna (DOM)
214,34,5,Całkowity CO2
215,35,5,Całkowity CO
216,36,5,Całkowity CH4
217,37,5,Bio CO2
218,38,5,Bio CO
219,39,5,Bio CH4
220,40,5,CO2 rozpuszczonej martwej materii organicznej (DOM)
221,41,5,CO rozpuszczonej martwej materii organicznej (DOM)
222,42,5,CH4 rozpuszczonej martwej materii organicznej (DOM)
223,43,5,Straty związane z zakłóceniem
224,44,5,Zaburzenia przez biomasę do gleby
225,45,5,Produkcja biomu netto (NBP)
