DefaultDisturbanceTypeId,land_type_id
8,1
143,3
144,3
145,3
146,3
205,3
206,3
7,8
147,7
148,7
149,7
150,7
153,7
154,7
155,7
156,7
159,7
160,7
161,7
162,7
207,7
208,7
210,7
211,7
212,7
213,7
216,7
217,7
218,7
219,7
223,7
224,7
225,7
226,7
229,7
230,7
231,7
232,7
233,7
234,7
151,5
152,5
157,5
158,5
163,5
164,5
209,5
214,5
215,5
220,5
221,5
227,6
228,6
235,5
